what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361957947264
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1361957948596
activated,editor,com.aptana.ide.editors,1.2.5.023247,com.aptana.ide.ui.UntitledTextEditor,1361957948887
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361957963528
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361957964299
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361957973752
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361957974283
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1361957975815
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361957979120
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361957980422
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1361958037003
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1361958040909
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1361958042351
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361958060938
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361958061979
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361958062610
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361958065835
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1361958210363
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1361958210563
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361958271611
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361958272642
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361958273634
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361958278841
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1361958280443
activated,editor,com.aptana.ide.editors,1.2.5.023247,com.aptana.ide.ui.UntitledTextEditor,1361958283638
